person,same_person_avg_distance,same_person_std,group_min_distance,detected_faces_count,total_faces,detected_success
person01,0.4277027867604575,0.0292330343415613,0.4066188637120544,1,5,True
person02,0.3868888626768034,0.0416937276820251,0.4503569598751498,0,4,False
person03,0.4253627871374328,0.0954132611263596,0.3542803801664207,1,6,True
person04,0.3929007866708385,0.0112288026104949,0.3558808669869816,3,5,True
person05,0.3454059229188757,0.0488916371422701,0.3503811424367403,1,9,True
person06,0.4865055135577963,0.1118849033994287,0.4063276707888655,1,5,True
person07,0.4629386319778727,0.0138709739839553,0.3104704687406932,1,5,True
person08,0.4498649076072922,0.0258749756195005,0.5562016114268907,0,5,False
person09,0.4517751192238055,0.0523950780711693,0.4118322192834722,1,15,True
person10,0.472318493929859,0.1000351965984771,0.4237176742624926,1,8,True
person11,0.5674432161989401,0.0557625130678105,0.353493816165074,1,7,True
person12,0.4027169207855545,0.0531632200647587,0.3417257936099696,2,7,True
person13,0.5775192422199552,0.0767563327092022,0.399701327110215,1,4,True
person14,0.4263504403576707,0.0279176469118889,0.3589721386162416,3,6,True
person15,0.8381385968420408,0.0,0.4532446319896178,0,4,False
person16,0.6731070908810812,0.0210761072789621,0.497425680417894,0,7,False
person17,0.4183991808241461,0.0603226048156857,0.571248058791914,0,11,False
person18,0.6518471455244287,0.0712359496783885,0.4865111147863489,0,4,False
person19,0.4215312459300529,0.0726057668103586,0.3054726193262552,1,8,True
person20,0.2561756151897793,0.0457348623979721,0.5245636153081052,0,10,False
person21,0.4261744332874059,0.1207003990436761,0.5457181407173866,0,8,False
person22,0.4553908339058983,0.0650702692072197,0.3647395653318513,2,5,True
person23,0.6361807919167718,0.0357204732376471,0.3356117476635782,1,4,True
person24,0.3075877643684712,0.0864872938593697,0.3256328769409673,1,10,True
person25,0.4108968204253644,0.0257486828937278,0.3920954760363657,1,9,True
person26,0.4024706940004496,0.0836063030965421,0.367292491998863,1,6,True
person27,0.6981658469024916,0.0764011650550712,0.5986400286756175,0,5,False
person28,0.5336551315529953,0.0201835122969609,0.5812166077053662,0,6,False
person29,0.4703140475773706,0.0816839701730037,0.4140528149818444,1,6,True
person30,0.7135144203324826,0.1919257238083358,0.4528300220847063,0,7,False
person31,0.3499663338496814,0.1795376967285728,0.3582268634974079,1,10,True
person32,0.458085591837167,0.053510709570148,0.4043324890297004,1,5,True
person33,0.8486865251273641,0.0910470207675556,0.394381158969897,1,5,True
person34,0.4354685106695446,0.0984108789411806,0.5206432688488194,0,6,False
person35,0.5162384955780732,0.0636474611135319,0.4444203432327984,1,5,True
person36,0.682582356726359,0.1171918642214931,0.4675266478574784,0,6,False
person37,0.4841889199116765,0.0590484079656958,0.325909621303892,1,5,True
person38,0.4114453008138414,0.1151966728352395,0.4760635831335501,0,8,False
person39,0.408445062369879,0.0070215196455706,0.3715130971047701,1,13,True
person40,0.3915178745027123,0.0248742937126927,0.4085619156234717,1,5,True
person41,0.5753156992574083,0.1155765283118101,0.3685406509602843,1,5,True
person42,0.4520242368341532,0.0814801106267363,0.5785998744189267,0,4,False
person43,0.5647475564294999,0.1245324018299111,0.397996193230121,1,6,True
person44,0.5049632314693756,0.1156103501125767,0.3577608956856509,1,4,True
person45,0.4379062068255359,0.0179097427791073,0.5038439385345646,0,5,False
person46,0.4107565793489436,0.1064860095275009,0.2575826719139193,1,10,True
person47,0.507038539003146,0.0800326597193648,0.4528243000388651,0,5,False
person48,0.7118081724547594,0.0878232052901307,0.5003950944545912,0,5,False
person49,0.7329589701574276,0.1965700765965041,0.4614698940724347,0,3,False
person50,0.5746018432400605,0.1720960543308087,0.465898368090734,0,18,False
