threshold,accuracy,same_person_accuracy,diff_person_accuracy,same_person_avg_dist,diff_person_avg_dist,same_person_std,diff_person_std,same_correct,same_total,diff_correct,diff_total
0.2,0.0,0.0,0,0.3902826909132077,0,0.09755784400452083,0,0,3,0,0
0.25,0.0,0.0,0,0.3902826909132077,0,0.09755784400452083,0,0,3,0,0
0.3,0.3333333333333333,0.3333333333333333,0,0.3902826909132077,0,0.09755784400452083,0,1,3,0,0
0.35,0.3333333333333333,0.3333333333333333,0,0.3902826909132077,0,0.09755784400452083,0,1,3,0,0
0.39999999999999997,0.3333333333333333,0.3333333333333333,0,0.3902826909132077,0,0.09755784400452083,0,1,3,0,0
0.44999999999999996,0.3333333333333333,0.3333333333333333,0,0.3902826909132077,0,0.09755784400452083,0,1,3,0,0
0.49999999999999994,1.0,1.0,0,0.3902826909132077,0,0.09755784400452083,0,3,3,0,0
0.5499999999999999,1.0,1.0,0,0.3902826909132077,0,0.09755784400452083,0,3,3,0,0
0.5999999999999999,1.0,1.0,0,0.3902826909132077,0,0.09755784400452083,0,3,3,0,0
0.6499999999999999,1.0,1.0,0,0.3902826909132077,0,0.09755784400452083,0,3,3,0,0
0.7,1.0,1.0,0,0.3902826909132077,0,0.09755784400452083,0,3,3,0,0
0.7499999999999998,1.0,1.0,0,0.3902826909132077,0,0.09755784400452083,0,3,3,0,0
0.7999999999999998,1.0,1.0,0,0.3902826909132077,0,0.09755784400452083,0,3,3,0,0
